0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,movie
Harry Potter and the Order of the Phoenix (2007),Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Goblet of Fire (2005),Harry Potter and the Half-Blood Prince (2009),Harry Potter and the Deathly Hallows: Part 1 (2010),Harry Potter and the Deathly Hallows: Part 2 (2011),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Harry Potter and the Chamber of Secrets (2002),Proof of Life (2000),"Hobbit: An Unexpected Journey, The (2012)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),Pirates of the Caribbean: Dead Man's Chest (2006),Iron Man 2 (2010),Sherlock Holmes: A Game of Shadows (2011),Star Trek (2009),How to Train Your Dragon (2010),Night at the Museum (2006),Live Free or Die Hard (2007),"Hunger Games, The (2012)",Cars (2006),Harry Potter and the Order of the Phoenix (2007)
Bowling for Columbine (2002),Fahrenheit 9/11 (2004),Super Size Me (2004),"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",Munich (2005),Eastern Promises (2007),"Good Girl, The (2002)","Inconvenient Truth, An (2006)","Scanner Darkly, A (2006)",Far from Heaven (2002),Hotel Rwanda (2004),Monster (2003),Black Swan (2010),Billy Elliot (2000),Finding Neverland (2004),School of Rock (2003),Whale Rider (2002),"Lives of Others, The (Das leben der Anderen) (2006)","Good Night, and Good Luck. (2005)",Intolerable Cruelty (2003),Bowling for Columbine (2002)
Thank You for Smoking (2006),"Last King of Scotland, The (2006)",Slumdog Millionaire (2008),Walk the Line (2005),(500) Days of Summer (2009),Coraline (2009),3:10 to Yuma (2007),Confessions of a Dangerous Mind (2002),Juno (2007),Howl's Moving Castle (Hauru no ugoku shiro) (2004),Michael Clayton (2007),"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",In America (2002),Hotel Rwanda (2004),Milk (2008),"Motorcycle Diaries, The (Diarios de motocicleta) (2004)","Very Long Engagement, A (Un long dimanche de fianÃ§ailles) (2004)","Station Agent, The (2003)",Eastern Promises (2007),Zodiac (2007),Thank You for Smoking (2006)
X2: X-Men United (2003),X-Men (2000),Looper (2012),Spider-Man (2002),Live Free or Die Hard (2007),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Star Trek (2009),Sherlock Holmes: A Game of Shadows (2011),Batman Begins (2005),X-Men: The Last Stand (2006),Argo (2012),"King's Speech, The (2010)",Iron Man (2008),Kingdom of Heaven (2005),Casino Royale (2006),Spider-Man 2 (2004),Shanghai Noon (2000),Runaway Jury (2003),How to Train Your Dragon (2010),Ocean's Eleven (2001),X2: X-Men United (2003)
"Motorcycle Diaries, The (Diarios de motocicleta) (2004)","Good Night, and Good Luck. (2005)","Last King of Scotland, The (2006)",Atonement (2007),"Lives of Others, The (Das leben der Anderen) (2006)","Good bye, Lenin! (2003)",Walk the Line (2005),Volver (2006),Michael Clayton (2007),American Gangster (2007),Monsoon Wedding (2001),Spellbound (2002),Stranger than Fiction (2006),Persepolis (2007),You Can Count on Me (2000),"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",Confessions of a Dangerous Mind (2002),No Man's Land (2001),Amores Perros (Love's a Bitch) (2000),Match Point (2005),"Motorcycle Diaries, The (Diarios de motocicleta) (2004)"
Paycheck (2003),Ocean's Twelve (2004),Iron Man 2 (2010),Secret Window (2004),Troy (2004),Hancock (2008),Ocean's Thirteen (2007),Sherlock Holmes: A Game of Shadows (2011),"Italian Job, The (2003)",Skyfall (2012),Finding Forrester (2000),"Day After Tomorrow, The (2004)",Keeping the Faith (2000),Kingdom of Heaven (2005),Die Another Day (2002),"Island, The (2005)",Limitless (2011),Midnight in Paris (2011),We Were Soldiers (2002),Star Trek: Nemesis (2002),Paycheck (2003)
"Animatrix, The (2003)",X-Men: First Class (2011),Coraline (2009),Letters from Iwo Jima (2006),Sherlock Holmes: A Game of Shadows (2011),Limitless (2011),Secret Window (2004),Matchstick Men (2003),"Manchurian Candidate, The (2004)",Sunshine (2007),Spellbound (2002),Skyfall (2012),3:10 to Yuma (2007),"Very Long Engagement, A (Un long dimanche de fianÃ§ailles) (2004)","Good bye, Lenin! (2003)",Cold Mountain (2003),"Illusionist, The (2006)",Kung Fu Panda (2008),Man on Fire (2004),"Das Experiment (Experiment, The) (2001)","Animatrix, The (2003)"
"Pianist, The (2002)",Amores Perros (Love's a Bitch) (2000),"Station Agent, The (2003)",Zodiac (2007),Mystic River (2003),You Can Count on Me (2000),"Good bye, Lenin! (2003)",Eastern Promises (2007),House of Sand and Fog (2003),Monsoon Wedding (2001),"Aviator, The (2004)","Lives of Others, The (Das leben der Anderen) (2006)",Road to Perdition (2002),"Constant Gardener, The (2005)",Stranger than Fiction (2006),Band of Brothers (2001),American Gangster (2007),Howl's Moving Castle (Hauru no ugoku shiro) (2004),Coraline (2009),Walk the Line (2005),"Pianist, The (2002)"
"Station Agent, The (2003)",Amores Perros (Love's a Bitch) (2000),"Das Experiment (Experiment, The) (2001)",Confessions of a Dangerous Mind (2002),"Pianist, The (2002)","Last King of Scotland, The (2006)","Lives of Others, The (Das leben der Anderen) (2006)",Coraline (2009),Eastern Promises (2007),"Good Night, and Good Luck. (2005)",Howl's Moving Castle (Hauru no ugoku shiro) (2004),"Machinist, The (Maquinista, El) (2004)",Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Zodiac (2007),"Squid and the Whale, The (2005)",Frailty (2001),Matchstick Men (2003),Gone Baby Gone (2007),Syriana (2005),"Aviator, The (2004)","Station Agent, The (2003)"
Meet the Fockers (2004),Cars (2006),Ice Age (2002),Iron Man 2 (2010),Sherlock Holmes: A Game of Shadows (2011),Meet the Parents (2000),Limitless (2011),Tangled (2010),X-Men: First Class (2011),Despicable Me (2010),National Lampoon's Van Wilder (2002),Star Trek (2009),Skyfall (2012),The Count of Monte Cristo (2002),Night at the Museum (2006),Source Code (2011),Holes (2003),How to Train Your Dragon (2010),Paycheck (2003),Runaway Jury (2003),Meet the Fockers (2004)
Confessions of a Dangerous Mind (2002),"Station Agent, The (2003)","Last King of Scotland, The (2006)",Spellbound (2002),Milk (2008),Walk the Line (2005),In America (2002),Gone Baby Gone (2007),Capote (2005),"Very Long Engagement, A (Un long dimanche de fianÃ§ailles) (2004)","Hurt Locker, The (2008)",Jarhead (2005),No Man's Land (2001),Hotel Rwanda (2004),"Das Experiment (Experiment, The) (2001)",3:10 to Yuma (2007),Boiler Room (2000),Coraline (2009),High Fidelity (2000),Persepolis (2007),Confessions of a Dangerous Mind (2002)
Corpse Bride (2005),"Station Agent, The (2003)",Match Point (2005),Sherlock Holmes: A Game of Shadows (2011),Frida (2002),"Good Night, and Good Luck. (2005)","Squid and the Whale, The (2005)","Das Experiment (Experiment, The) (2001)",Matchstick Men (2003),Proof of Life (2000),"Girl with the Dragon Tattoo, The (MÃ¤n som hatar kvinnor) (2009)",Gone Baby Gone (2007),Coraline (2009),Frailty (2001),"Importance of Being Earnest, The (2002)",Ice Age 2: The Meltdown (2006),Runaway Jury (2003),"Others, The (2001)","Lives of Others, The (Das leben der Anderen) (2006)",Spellbound (2002),Corpse Bride (2005)
"Lives of Others, The (Das leben der Anderen) (2006)","Good Night, and Good Luck. (2005)","Station Agent, The (2003)",Persepolis (2007),"Man Who Wasn't There, The (2001)","Good bye, Lenin! (2003)","Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Howl's Moving Castle (Hauru no ugoku shiro) (2004),Zodiac (2007),Match Point (2005),City of God (Cidade de Deus) (2002),Talk to Her (Hable con Ella) (2002),Dirty Pretty Things (2002),Spellbound (2002),Coraline (2009),Amores Perros (Love's a Bitch) (2000),Once (2006),Lemony Snicket's A Series of Unfortunate Events (2004),"Aviator, The (2004)",True Grit (2010),"Lives of Others, The (Das leben der Anderen) (2006)"
Mystic River (2003),"Pianist, The (2002)",Amores Perros (Love's a Bitch) (2000),21 Grams (2003),Million Dollar Baby (2004),Eastern Promises (2007),Dirty Pretty Things (2002),"Constant Gardener, The (2005)",Munich (2005),"Last King of Scotland, The (2006)","Station Agent, The (2003)",Zodiac (2007),Road to Perdition (2002),"Departed, The (2006)",Into the Wild (2007),You Can Count on Me (2000),Walk the Line (2005),Monster (2003),25th Hour (2002),City of God (Cidade de Deus) (2002),Mystic River (2003)
Terminator 3: Rise of the Machines (2003),Mission: Impossible III (2006),Kingdom of Heaven (2005),We Were Soldiers (2002),Die Another Day (2002),"Girl with the Dragon Tattoo, The (2011)",X-Men: The Last Stand (2006),"Bourne Supremacy, The (2004)","Last Samurai, The (2003)",Bruce Almighty (2003),"I, Robot (2004)",AVP: Alien vs. Predator (2004),Live Free or Die Hard (2007),Iron Man 2 (2010),"Girl Next Door, The (2004)",Ocean's Thirteen (2007),"Illusionist, The (2006)","Sum of All Fears, The (2002)",Mission: Impossible II (2000),Argo (2012),Terminator 3: Rise of the Machines (2003)
25th Hour (2002),Gone Baby Gone (2007),Eastern Promises (2007),Zodiac (2007),Stranger than Fiction (2006),Coraline (2009),Let the Right One In (LÃ¥t den rÃ¤tte komma in) (2008),(500) Days of Summer (2009),"Last King of Scotland, The (2006)","Station Agent, The (2003)","Machinist, The (Maquinista, El) (2004)","Man Who Wasn't There, The (2001)",Walk the Line (2005),"Pianist, The (2002)",Once (2006),"Good bye, Lenin! (2003)",Amores Perros (Love's a Bitch) (2000),Road to Perdition (2002),21 Grams (2003),Hedwig and the Angry Inch (2000),25th Hour (2002)
Ray (2004),Hotel Rwanda (2004),"Illusionist, The (2006)",Gone Baby Gone (2007),Frida (2002),Dirty Pretty Things (2002),Letters from Iwo Jima (2006),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Lord of War (2005),American Gangster (2007),High Fidelity (2000),"Last King of Scotland, The (2006)",Stranger than Fiction (2006),Walk the Line (2005),Lemony Snicket's A Series of Unfortunate Events (2004),Catch Me If You Can (2002),"Hitchhiker's Guide to the Galaxy, The (2005)",Cinderella Man (2005),Confessions of a Dangerous Mind (2002),"King's Speech, The (2010)",Ray (2004)
Master and Commander: The Far Side of the World (2003),Gone Baby Gone (2007),"Last King of Scotland, The (2006)","Das Experiment (Experiment, The) (2001)",Eastern Promises (2007),Stranger than Fiction (2006),American Gangster (2007),Hotel Rwanda (2004),Frailty (2001),Band of Brothers (2001),Spellbound (2002),Corpse Bride (2005),"Wrestler, The (2008)","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)","Others, The (2001)",Changing Lanes (2002),True Grit (2010),25th Hour (2002),Kung Fu Hustle (Gong fu) (2004),Argo (2012),Master and Commander: The Far Side of the World (2003)
The Butterfly Effect (2004),Blow (2001),"Life of David Gale, The (2003)","Hunger Games, The (2012)",Clerks II (2006),Identity (2003),Proof of Life (2000),"Manchurian Candidate, The (2004)",Sherlock Holmes: A Game of Shadows (2011),Secret Window (2004),Lord of War (2005),Taken (2008),"Beautiful Mind, A (2001)","Blind Side, The  (2009)",Shutter Island (2010),"I, Robot (2004)",Cinderella Man (2005),"Curious Case of Benjamin Button, The (2008)",Red Dragon (2002),I Am Sam (2001),The Butterfly Effect (2004)
Little Miss Sunshine (2006),Fantastic Mr. Fox (2009),"Maria Full of Grace (Maria, Llena eres de gracia) (2004)","Inconvenient Truth, An (2006)","Last King of Scotland, The (2006)",Thank You for Smoking (2006),"Darjeeling Limited, The (2007)",Juno (2007),Babel (2006),"Lives of Others, The (Das leben der Anderen) (2006)",Eternal Sunshine of the Spotless Mind (2004),Amores Perros (Love's a Bitch) (2000),Billy Elliot (2000),Spellbound (2002),Coraline (2009),Michael Clayton (2007),"Good Night, and Good Luck. (2005)",Volver (2006),Howl's Moving Castle (Hauru no ugoku shiro) (2004),Burn After Reading (2008),Little Miss Sunshine (2006)
Skyfall (2012),Runaway Jury (2003),Looper (2012),"Manchurian Candidate, The (2004)",Catch Me If You Can (2002),Live Free or Die Hard (2007),Matchstick Men (2003),"Bourne Ultimatum, The (2007)",Quantum of Solace (2008),"Last King of Scotland, The (2006)",Panic Room (2002),"Illusionist, The (2006)","King's Speech, The (2010)",Sherlock Holmes: A Game of Shadows (2011),Midnight in Paris (2011),Limitless (2011),Zombieland (2009),Despicable Me (2010),"Hunger Games, The (2012)","Pursuit of Happyness, The (2006)",Skyfall (2012)
8 Mile (2002),Boiler Room (2000),Ray (2004),Dirty Pretty Things (2002),Layer Cake (2004),Thirteen Days (2000),Midnight in Paris (2011),Once (2006),No Man's Land (2001),"March of the Penguins (Marche de l'empereur, La) (2005)","Squid and the Whale, The (2005)",Limitless (2011),You Can Count on Me (2000),Catch Me If You Can (2002),Hotel Rwanda (2004),Spy Game (2001),"Last King of Scotland, The (2006)",Space Cowboys (2000),"King's Speech, The (2010)",Road to Perdition (2002),8 Mile (2002)
Lilo & Stitch (2002),Finding Nemo (2003),"March of the Penguins (Marche de l'empereur, La) (2005)","Importance of Being Earnest, The (2002)",13 Going on 30 (2004),Keeping the Faith (2000),Up (2009),"Devil Wears Prada, The (2006)",Match Point (2005),Ice Age 2: The Meltdown (2006),Kung Fu Panda (2008),Hotel Rwanda (2004),In America (2002),Billy Elliot (2000),"Last King of Scotland, The (2006)",Lemony Snicket's A Series of Unfortunate Events (2004),Coraline (2009),3:10 to Yuma (2007),"Hurt Locker, The (2008)",Monsoon Wedding (2001),Lilo & Stitch (2002)
"Inconvenient Truth, An (2006)","Lives of Others, The (Das leben der Anderen) (2006)","Station Agent, The (2003)","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Fantastic Mr. Fox (2009),Matchstick Men (2003),Capote (2005),"Last King of Scotland, The (2006)",Spirited Away (Sen to Chihiro no kamikakushi) (2001),Coraline (2009),Spellbound (2002),Little Miss Sunshine (2006),Juno (2007),Billy Elliot (2000),Howl's Moving Castle (Hauru no ugoku shiro) (2004),Dirty Pretty Things (2002),Letters from Iwo Jima (2006),Eastern Promises (2007),"Good Night, and Good Luck. (2005)","Wrestler, The (2008)","Inconvenient Truth, An (2006)"
Evolution (2001),Fantastic Four (2005),"Day After Tomorrow, The (2004)",Tangled (2010),Secret Window (2004),"Recruit, The (2003)",We Were Soldiers (2002),Mona Lisa Smile (2003),Click (2006),Paycheck (2003),Hancock (2008),"Chronicles of Riddick, The (2004)",Kingdom of Heaven (2005),Red Planet (2000),Ocean's Thirteen (2007),Live Free or Die Hard (2007),Madagascar (2005),Iron Man 2 (2010),Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Space Cowboys (2000),Evolution (2001)
Pirates of the Caribbean: Dead Man's Chest (2006),Pirates of the Caribbean: At World's End (2007),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Live Free or Die Hard (2007),X-Men: The Last Stand (2006),Men of Honor (2000),Harry Potter and the Half-Blood Prince (2009),Harry Potter and the Order of the Phoenix (2007),Iron Man 2 (2010),Remember the Titans (2000),Ocean's Twelve (2004),Limitless (2011),Iron Man (2008),Ocean's Thirteen (2007),"King's Speech, The (2010)",Behind Enemy Lines (2001),Pitch Black (2000),"Hobbit: An Unexpected Journey, The (2012)",Sherlock Holmes (2009),"Sum of All Fears, The (2002)",Pirates of the Caribbean: Dead Man's Chest (2006)
"6th Day, The (2000)",Red Planet (2000),"Time Machine, The (2002)","I, Robot (2004)",Die Another Day (2002),The Count of Monte Cristo (2002),Secret Window (2004),Taken (2008),Proof of Life (2000),"Sum of All Fears, The (2002)",Skyfall (2012),"Hunger Games, The (2012)",Mission: Impossible III (2006),Hollow Man (2000),Along Came a Spider (2001),"One, The (2001)","Recruit, The (2003)","Last Samurai, The (2003)",DÃ©jÃ  Vu (Deja Vu) (2006),Troy (2004),"6th Day, The (2000)"
Road Trip (2000),Clerks II (2006),Cinderella Man (2005),"Dark Knight Rises, The (2012)",American Wedding (American Pie 3) (2003),Thor (2011),National Lampoon's Van Wilder (2002),Despicable Me (2010),Bandits (2001),DÃ©jÃ  Vu (Deja Vu) (2006),Runaway Jury (2003),American Pie 2 (2001),Iron Man 2 (2010),Blow (2001),The Count of Monte Cristo (2002),Harold and Kumar Go to White Castle (2004),Enemy at the Gates (2001),Taken (2008),Finding Forrester (2000),"Simpsons Movie, The (2007)",Road Trip (2000)
Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Goblet of Fire (2005),Harry Potter and the Order of the Phoenix (2007),Harry Potter and the Chamber of Secrets (2002),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Harry Potter and the Deathly Hallows: Part 1 (2010),Harry Potter and the Deathly Hallows: Part 2 (2011),Harry Potter and the Half-Blood Prince (2009),Pirates of the Caribbean: Dead Man's Chest (2006),"Hobbit: An Unexpected Journey, The (2012)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),How to Train Your Dragon (2010),X2: X-Men United (2003),Sherlock Holmes: A Game of Shadows (2011),Proof of Life (2000),Night at the Museum (2006),Pirates of the Caribbean: At World's End (2007),Frailty (2001),Star Trek (2009),Live Free or Die Hard (2007),Harry Potter and the Prisoner of Azkaban (2004)
"Importance of Being Earnest, The (2002)",Matchstick Men (2003),Lemony Snicket's A Series of Unfortunate Events (2004),Proof of Life (2000),"Beautiful Mind, A (2001)",Midnight in Paris (2011),Coraline (2009),"Illusionist, The (2006)","Manchurian Candidate, The (2004)",Sherlock Holmes: A Game of Shadows (2011),3:10 to Yuma (2007),Band of Brothers (2001),Spellbound (2002),How to Train Your Dragon (2010),Catch Me If You Can (2002),Despicable Me (2010),Runaway Jury (2003),"Last King of Scotland, The (2006)",Howl's Moving Castle (Hauru no ugoku shiro) (2004),"King's Speech, The (2010)","Importance of Being Earnest, The (2002)"
Changing Lanes (2002),Despicable Me (2010),Limitless (2011),"Manchurian Candidate, The (2004)",Sherlock Holmes (2009),Clerks II (2006),Gone Baby Gone (2007),Lucky Number Slevin (2006),"Illusionist, The (2006)","Last King of Scotland, The (2006)",Seabiscuit (2003),"Bourne Supremacy, The (2004)",American Gangster (2007),Finding Forrester (2000),Proof of Life (2000),"Bourne Ultimatum, The (2007)",How to Train Your Dragon (2010),Runaway Jury (2003),Skyfall (2012),"I Love You, Man (2009)",Changing Lanes (2002)
Chicken Run (2000),"Monsters, Inc. (2001)",Hotel Rwanda (2004),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Finding Nemo (2003),"Incredibles, The (2004)",Persepolis (2007),Seabiscuit (2003),Shrek (2001),"King's Speech, The (2010)",Match Point (2005),You Can Count on Me (2000),Toy Story 3 (2010),In America (2002),"Good Night, and Good Luck. (2005)",Atonement (2007),Before Sunset (2004),"Importance of Being Earnest, The (2002)",High Fidelity (2000),Shrek 2 (2004),Chicken Run (2000)
Coyote Ugly (2000),Maid in Manhattan (2002),Lara Croft Tomb Raider: The Cradle of Life (2003),How to Lose a Guy in 10 Days (2003),America's Sweethearts (2001),40 Days and 40 Nights (2002),Save the Last Dance (2001),"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)","Day After Tomorrow, The (2004)",Space Cowboys (2000),X-Men: The Last Stand (2006),Ocean's Twelve (2004),Mona Lisa Smile (2003),Final Destination (2000),Shanghai Knights (2003),Fantastic Four (2005),"Knight's Tale, A (2001)",American Wedding (American Pie 3) (2003),Kate & Leopold (2001),Paycheck (2003),Coyote Ugly (2000)
Saw II (2005),X-Men: First Class (2011),"Boondock Saints, The (2000)",Harold and Kumar Go to White Castle (2004),Hancock (2008),Behind Enemy Lines (2001),Romeo Must Die (2000),S.W.A.T. (2003),Hitch (2005),"Transporter, The (2002)",X-Men Origins: Wolverine (2009),Underworld (2003),"I, Robot (2004)","Score, The (2001)",Secondhand Lions (2003),Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Blind Side, The  (2009)",Rush Hour 2 (2001),Blade: Trinity (2004),Men of Honor (2000),Saw II (2005)
Titan A.E. (2000),Along Came a Spider (2001),Starsky & Hutch (2004),Kingdom of Heaven (2005),X-Men: First Class (2011),Walk the Line (2005),Spy Game (2001),"Brothers Grimm, The (2005)",Blood Diamond (2006),"Whole Nine Yards, The (2000)",Matchstick Men (2003),Shanghai Noon (2000),Secondhand Lions (2003),Taken (2008),Constantine (2005),Limitless (2011),Skyfall (2012),Gone Baby Gone (2007),"Illusionist, The (2006)","Girl with the Dragon Tattoo, The (MÃ¤n som hatar kvinnor) (2009)",Titan A.E. (2000)
28 Days Later (2002),American Gangster (2007),Once (2006),"Machinist, The (Maquinista, El) (2004)",Dawn of the Dead (2004),"Pianist, The (2002)",Lucky Number Slevin (2006),Clerks II (2006),Broken Flowers (2005),True Grit (2010),Gangs of New York (2002),Amores Perros (Love's a Bitch) (2000),Old Boy (2003),Road to Perdition (2002),Shaun of the Dead (2004),Moon (2009),Shaolin Soccer (Siu lam juk kau) (2001),Kiss Kiss Bang Bang (2005),Changing Lanes (2002),Snatch (2000),28 Days Later (2002)
"Monsters, Inc. (2001)",Finding Nemo (2003),Shrek (2001),Up (2009),Ice Age (2002),"Incredibles, The (2004)",Shrek 2 (2004),How to Train Your Dragon (2010),Hotel Rwanda (2004),Pirates of the Caribbean: The Curse of the Black Pearl (2003),WALLÂ·E (2008),Chicken Run (2000),Ratatouille (2007),Despicable Me (2010),In America (2002),Argo (2012),Toy Story 3 (2010),Mean Girls (2004),"King's Speech, The (2010)","Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)","Monsters, Inc. (2001)"
Jarhead (2005),No Man's Land (2001),Eastern Promises (2007),"Last King of Scotland, The (2006)","History of Violence, A (2005)",Confessions of a Dangerous Mind (2002),Coraline (2009),3:10 to Yuma (2007),"Wrestler, The (2008)",In America (2002),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",Babel (2006),Spellbound (2002),"Station Agent, The (2003)","Very Long Engagement, A (Un long dimanche de fianÃ§ailles) (2004)",Hotel Rwanda (2004),Capote (2005),Midnight in Paris (2011),"Hurt Locker, The (2008)",Zodiac (2007),Jarhead (2005)
No Country for Old Men (2007),"Man Who Wasn't There, The (2001)",Children of Men (2006),Burn After Reading (2008),Lost in Translation (2003),Ghost World (2001),"Good Night, and Good Luck. (2005)",Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Amores Perros (Love's a Bitch) (2000),There Will Be Blood (2007),City of God (Cidade de Deus) (2002),Fantastic Mr. Fox (2009),"Motorcycle Diaries, The (Diarios de motocicleta) (2004)","Last King of Scotland, The (2006)",Persepolis (2007),"Lives of Others, The (Das leben der Anderen) (2006)",Eastern Promises (2007),"Downfall (Untergang, Der) (2004)","Wrestler, The (2008)","Good bye, Lenin! (2003)",No Country for Old Men (2007)
"Day After Tomorrow, The (2004)",Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Lara Croft Tomb Raider: The Cradle of Life (2003),Paycheck (2003),Keeping the Faith (2000),We Were Soldiers (2002),Iron Man 2 (2010),Hancock (2008),Kingdom of Heaven (2005),X-Men: The Last Stand (2006),Lara Croft: Tomb Raider (2001),"Recruit, The (2003)","Knight's Tale, A (2001)",X-Men Origins: Wolverine (2009),Live Free or Die Hard (2007),"Chronicles of Riddick, The (2004)",Ocean's Thirteen (2007),Die Another Day (2002),"Island, The (2005)",I Am Legend (2007),"Day After Tomorrow, The (2004)"
"O Brother, Where Art Thou? (2000)",Persepolis (2007),"Darjeeling Limited, The (2007)","Good Night, and Good Luck. (2005)",Confessions of a Dangerous Mind (2002),Syriana (2005),Milk (2008),Gone Baby Gone (2007),"Station Agent, The (2003)",Wallace & Gromit in The Curse of the Were-Rabbit (2005),High Fidelity (2000),Amores Perros (Love's a Bitch) (2000),Capote (2005),Babel (2006),Volver (2006),True Grit (2010),Atonement (2007),In America (2002),District 9 (2009),Fantastic Mr. Fox (2009),"O Brother, Where Art Thou? (2000)"
Boiler Room (2000),Confessions of a Dangerous Mind (2002),Thirteen Days (2000),"I Love You, Man (2009)",Midnight in Paris (2011),"King's Speech, The (2010)",Catch Me If You Can (2002),Sherlock Holmes: A Game of Shadows (2011),Cinderella Man (2005),Forgetting Sarah Marshall (2008),Finding Forrester (2000),Matchstick Men (2003),American Gangster (2007),Hotel Rwanda (2004),Looper (2012),Sherlock Holmes (2009),Clerks II (2006),Spy Game (2001),Gravity (2013),Layer Cake (2004),Boiler Room (2000)
Old Boy (2003),Children of Men (2006),City of God (Cidade de Deus) (2002),"Machinist, The (Maquinista, El) (2004)","Good Night, and Good Luck. (2005)",Spellbound (2002),Burn After Reading (2008),Amores Perros (Love's a Bitch) (2000),"Wrestler, The (2008)","Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Shaolin Soccer (Siu lam juk kau) (2001),"Good bye, Lenin! (2003)","Station Agent, The (2003)","Man Who Wasn't There, The (2001)",Moon (2009),Eastern Promises (2007),Capote (2005),Gone Baby Gone (2007),Babel (2006),Memento (2000),Old Boy (2003)
"Avengers, The (2012)",Iron Man (2008),Iron Man 2 (2010),Sherlock Holmes: A Game of Shadows (2011),Sherlock Holmes (2009),Finding Forrester (2000),"Dark Knight Rises, The (2012)",Live Free or Die Hard (2007),Rise of the Planet of the Apes (2011),"King's Speech, The (2010)",Argo (2012),Proof of Life (2000),Boiler Room (2000),Despicable Me (2010),"Incredible Hulk, The (2008)","Hobbit: An Unexpected Journey, The (2012)",Thirteen Days (2000),Limitless (2011),Matchstick Men (2003),Clerks II (2006),"Avengers, The (2012)"
Keeping the Faith (2000),Finding Forrester (2000),Space Cowboys (2000),Over the Hedge (2006),Chocolat (2000),Iron Man 2 (2010),Cinderella Man (2005),Hotel Rwanda (2004),Shanghai Knights (2003),"Terminal, The (2004)","Recruit, The (2003)",Limitless (2011),"Whole Nine Yards, The (2000)",Taken (2008),Men of Honor (2000),"Knight's Tale, A (2001)",Frailty (2001),Sherlock Holmes: A Game of Shadows (2011),Enchanted (2007),Tangled (2010),Keeping the Faith (2000)
Zombieland (2009),Gone Baby Gone (2007),Scott Pilgrim vs. the World (2010),"King's Speech, The (2010)",Skyfall (2012),Despicable Me (2010),Kick-Ass (2010),Moon (2009),"Prestige, The (2006)",Argo (2012),"Manchurian Candidate, The (2004)",Looper (2012),Runaway Jury (2003),"Last King of Scotland, The (2006)",Eastern Promises (2007),"I Love You, Man (2009)",True Grit (2010),Quantum of Solace (2008),Rabbit-Proof Fence (2002),Coraline (2009),Zombieland (2009)
Ocean's Eleven (2001),"Italian Job, The (2003)","Illusionist, The (2006)",Runaway Jury (2003),Limitless (2011),Live Free or Die Hard (2007),Ocean's Thirteen (2007),We Were Soldiers (2002),Life as a House (2001),Kingdom of Heaven (2005),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Skyfall (2012),"Pursuit of Happyness, The (2006)","Prestige, The (2006)","Bourne Identity, The (2002)",How to Train Your Dragon (2010),Secret Window (2004),"I Love You, Man (2009)",Catch Me If You Can (2002),"King's Speech, The (2010)",Ocean's Eleven (2001)
Hulk (2003),Iron Man 2 (2010),"Sum of All Fears, The (2002)",Stardust (2007),"Brothers Grimm, The (2005)",Hellboy (2004),Panic Room (2002),"I, Robot (2004)","Incredible Hulk, The (2008)","Illusionist, The (2006)",Iron Man (2008),X-Men (2000),Star Trek (2009),"King's Speech, The (2010)",X-Men: First Class (2011),Atlantis: The Lost Empire (2001),"Animatrix, The (2003)",Kung Fu Panda (2008),"Importance of Being Earnest, The (2002)",Shallow Hal (2001),Hulk (2003)
